N0_N1_distance,N1_N2_distance,N2_N3_distance
0.1161530412719104,0.07724784171784371,0.08944166746460314
0.13129340411458945,0.09294703388581571,0.09895206795895606
0.09976901078121447,0.09131470426263999,0.09006663483108723
0.17105597903585146,0.09225646082663908,0.10170843851424449
0.10974235992273618,0.09405555530224308,0.06281393159219928
0.1062297847052307,0.020891125041032965,0.0
0.09926233482318847,0.06258354891220264,0.06687900270703917
0.10106487127297903,0.08614172419205202,0.08268701959734659
0.1039995243232521,0.09522222073004605,0.09687358952229308
0.10188601305235234,0.10491284919538646,0.09100787072508187
0.10397330941708238,0.09237407953614907,0.00121546109044246
0.12866562316661645,0.10233202130446883,0.08624783517755508
0.10439011036391099,0.0728542852117613,0.06737080797743922
0.10143593149300101,0.07427640349673659,0.07158407537350042
0.16338180262151203,0.09169685464053656,0.04733215430240034
0.10158323800671665,0.09705057814771878,0.09058627072180503
0.15665814391829347,0.0846835972772505,0.08295700833053965
0.10327337345856868,0.09108929698511625,0.06528164870751474
0.17202766811108317,0.06295739885682927,0.04851093073536228
0.10704402349934306,0.10934744937507601,0.09646048056912127
0.10359126936308227,0.07140146738436559,0.07256456533797573
0.18725408903196428,0.0,0.0
0.17892155418913624,0.08284468600634842,0.03115886417607394
0.2192962324458927,0.0,0.0
0.09143009203948593,0.08132497222713009,0.057804756377966005
0.10963358733528838,0.09970923869899817,0.08944930505601911
0.15066587159610423,0.0,0.0
0.19134747923871898,0.0,0.0
0.10937479220049529,0.07888035705399643,0.0735909118138589
0.1051885677766684,0.0947105482563192,0.09355227794362042
0.12038259665443518,0.16940300528102525,0.09802257825983973
0.10921148780022383,0.04227075968080651,0.0
0.09991934176803552,0.09224130945103415,0.09566568796284869
0.19444820837097276,0.10193269309984232,0.03475127622129137
0.09095014932152778,0.0,0.0
0.11498099467291978,0.09340317221674166,0.07288149201353511
0.5941042573951121,0.0,0.0
0.17527660742543372,0.07143030297157571,0.05812779926291556
0.10566157432658074,0.08800737180941642,0.0876001873347605
0.10485704333798973,0.09471923161288065,0.07086712460353939
0.6005670889667372,0.0,0.0
0.017496441848392386,0.0077925793576753,0.0
0.10091908946767059,0.09727356929345432,0.07890745691960421
0.10170632659932399,0.07408742490414544,0.06287059593466238
0.11688939976703638,0.08215384047752772,0.07969051788412485
0.17927229004615974,0.047110307272100416,0.0
0.10077150235718424,0.0895948616167147,0.040982513550895994
0.1060911545824984,0.09285285428621837,0.03635813795896825
0.11702928211067842,0.09366919155798192,0.08138579642404975
0.10127999385408182,0.09570269499082251,0.09143443293046571
0.10791761247907572,0.0968801071255937,0.06812916707050953
0.17623361225701217,0.08368642976104324,0.0820388109696234
0.1627019743542757,0.1622640607623257,0.09354690585806247
0.100314564161331,0.0938343231553741,0.14848631351334274
0.10254803395507783,0.16309157846775812,0.002698185040286627
0.060459110473457645,0.08458204334365327,0.0
0.10544829356117957,0.0942229372604717,0.05814198461706943
0.11376513472304517,0.08369960462596837,0.0
0.14967153128034338,0.0863547632603715,0.025101703115662732
0.09990704532072259,0.0842495141761761,0.04864959861309681
0.11271276119237694,0.09516549367211491,0.08746861251483329
0.11117850728620149,0.09866627218247359,0.09525037079288201
0.10179617529324603,0.08893193437665659,0.05569753850245118
0.10030812714127968,0.1633539761323729,0.09102347311992731
0.09900089142349,0.08158477773361028,0.06634987489075661
0.10472738681693905,0.0,0.0
0.09863767051404837,0.08508501161771354,0.03570975271101462
0.10838012392956475,0.0968860548454431,0.05830410395231622
0.09912757926473104,0.08579989287542378,0.0
0.06796571977392785,0.0,0.0
0.17619473446188927,0.09485006976034749,0.08698464873153544
0.10266103515727476,0.090200178984703,0.07189197106345235
0.10547115745962232,0.09094983015934055,0.06550362242171859
0.11104599274673466,0.07579178182766844,0.0
0.17840262460677225,0.08672611838797961,0.02475695997948346
0.10355279072364931,0.0885856133699856,0.07931149779140101
0.10444337534239445,0.09632328825089542,0.05494390992590137
0.10485068967925237,0.0912720714475842,0.08473987715281328
0.09715680325620768,0.07416087889151479,0.0761092387898219
0.11012711864406777,0.0,0.0
0.5950189786059352,0.0,0.0
0.06218866726430594,0.09563745200592555,0.0
0.21375885365587877,0.06192471750355455,0.0
0.09961974252143979,0.0910259011594533,0.006760810974094089
0.1003013565847024,0.0709692856663725,0.05500928871537991
0.10328624954502952,0.0904564832072664,0.0611472612873355
0.16064644979258647,0.08350500028246166,0.0408995722897324
0.18774581002579216,0.10066562244244048,0.08293476303119951
0.20104434098495627,0.01180428722483895,0.0
0.0834731756928554,0.06525665984458973,0.0
0.11720078226857888,0.06091515268650938,0.06653550772731587
0.10516764645172105,0.09550236066393103,0.07396544415302819
0.16501739447535824,0.07199159667781907,0.09312566761127106
0.20463338565375777,0.09272770746023185,0.06499156263298134
0.11754561063253366,0.09727970665676655,0.15802655600314663
0.1792494277747254,0.09543633134341067,0.07850328011831431
0.1103047198256577,0.05065423549749559,0.04854263676355397
0.10315302572328744,0.0993017804415921,0.09752484922097615
0.10111046961034054,0.08281034685778488,0.08421383580896158
0.13514475743348975,0.0,0.0
0.18916299592762031,0.16065473974657907,0.07925051416487872
0.17842737891578475,0.09605554992078569,0.09142153716284063
0.11631522378821546,0.09673815735184288,0.09572539264608448
0.10689263215202105,0.07392715762298618,0.059765897534803214
0.09999959409616321,0.07358278068619017,0.05855333251610695
0.10099931430808184,0.08724638826465336,0.0853016074786156
0.5958975078872588,0.0,0.0
0.20129497086018822,0.0,0.0
0.16865496578637895,0.044503723759473424,0.01970098358380079
0.09890353058664969,0.0,0.0
0.11519922069813338,0.08376186872623703,0.06409656532154584
0.18023097249439957,0.08465828461047586,0.08191724875758666
0.108364094020027,0.5939256184432082,0.0
0.11828607122382606,0.04880594790831416,0.04236240398912228
0.21170634920634923,0.05097261126672892,0.0
0.1246556319497496,0.0,0.0
0.17654043097169747,0.07004483242924342,0.06797890610810364
0.10431205636468799,0.09143044365268549,0.05570712748727924
0.18186536351119864,0.09424069541998781,0.10666270520931642
0.09930896724091853,0.08542334501429871,0.08768245169719491
0.09426597870105624,0.06737371454161412,0.0
0.1816482417179789,0.07392797875603085,0.03443878902036379
0.025057952316737908,0.0,0.0
0.10351470782694405,0.03909214189628363,0.03600654353386468
0.07763971558345051,0.03129868290610405,0.0
0.10656855996749337,0.09392620854529843,0.07226015994017698
